mardyn trunk 20160512
currentTime	   3.999999999999959e+01
 Length	48 48 48
 Temperature	0.7
 NumberOfComponents	1
1	0	0	0	0
0 0 0	1 1 0.0979013468
0 0 0
1e+10
 NumberOfMolecules	2444
 MoleculeFormat	ICRVQD
913	1	1.1527559915263405621 27.288344997965996441 1.4123724424004528988	-0.54291145644163574246 0.83945108331204976171 -1.3731562867637971959	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
26	1	21.180957069554523287 26.00277831904953274 1.2632629060479481087	0.65730573202565489854 -0.71028385408019656388 0.92873192323667941306	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
319	1	24.674357568917535843 26.530383883474318196 0.36559567762516398393	1.0440040589877470634 0.63500863492603254468 -1.5221414309027103684	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2083	1	29.237931991686025412 25.714976060829833671 2.3597851931836704154	1.1519839764042445474 -0.33419376196316868954 -0.33182263121335942024	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
119	1	46.683562267549127967 25.694675945539515283 0.56214380639113470384	-1.3573161184264650458 0.33844021974756494098 1.0364930679466988206	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
434	1	4.4521956224702874394 28.018475544977484049 1.5977232716036280369	-1.842579688265638227 1.0545620191806046595 -1.0472114542767279044	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
326	1	21.885906159763788281 29.088816714774146988 0.44844187340112712237	0.95248779388757642828 1.0997792165725543967 0.8862510568549962775	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2356	1	38.142614148208899394 30.084696006832309934 0.83441727688110223227	-0.70753041294202312361 0.51540844273243191509 0.13720922911495367358	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2336	1	35.524596471810802711 32.761194367772851876 1.7087572030312290217	-0.63853267931800195001 -0.22598210143122127169 -0.60996072776635157364	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2314	1	22.87904176572800452 36.838661479939659671 2.4782807023430692972	-1.8874344450277258378 0.50701712056420267238 -1.5169287741905879141	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
253	1	3.7165204117823176233 38.064328438364739782 1.6106258742859893562	0.072918046619159446187 0.58522999462495672862 -0.66597382153238282587	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2427	1	13.692645755657043338 39.524038516222852024 0.44895974254456733066	-0.2907612645909574689 -0.36244746933382976373 -0.49336239791126867971	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
112	1	14.794284648395588988 40.544502746826118766 0.75521063739567950712	-1.0626560667798574666 1.3350305704128044848 0.62490038628614619221	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2088	1	34.501678655126148954 41.034233899244362931 1.2981982510537901643	0.31132864550437433504 -1.9805149995320421308 0.22299346446743062433	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
1730	1	26.322407928809184341 45.40358230026364339 2.4993423005057464614	-0.58511018295132621869 1.038441828517353116 -0.86542649582029951283	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
