mardyn trunk 20160512
currentTime	   1.200000000000547e+02
 Length	48 67 48
 Temperature	0.7
 NumberOfComponents	1
1	0	0	0	0
0 0 0	1 1 0.0979013468
0 0 0
1e+10
 NumberOfMolecules	4414
 MoleculeFormat	ICRVQD
2292	1	47.3774637753885699 0.53648820328522428547 2.7650475282633140139	-0.64759078488844346033 0.14387405714000173207 -0.029544974902896377345	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
280	1	36.140863240314374139 2.9486518606107701146 4.2884759354178658697	1.0159166292868428982 -0.12678330130586740188 -0.40848755002675196657	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
1774	1	15.254155672755373985 6.6422378776188564231 4.2374883430516803173	0.21919174708424210563 0.25236680723896892653 1.0515187913097343575	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2059	1	0.10422474285294067164 8.3171593233764369302 3.3922357338957493944	0.11036475178691561305 0.35002020256747651272 0.24756952311516677856	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
1535	1	36.773406701745642522 8.5339104312512219508 2.9418831045324655982	0.5967355437939532159 0.20687908390889145349 0.76900764584090974818	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2081	1	2.2179471210275840676 11.355378335739690243 4.8542827088314766115	-0.58632137698150810223 0.82944612378208859571 -0.46317870302514307923	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
3524	1	14.837600049486281861 14.414428014725267246 2.8745516692909629519	1.5409691379328989136 1.0082224227744653877 -0.77726561282719663915	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
4361	1	16.071347621520551741 14.222311295001063058 4.7448370608327445908	1.0563112030461481172 -0.25721246760446164759 1.0728008446377983454	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
4311	1	21.960582241627392364 14.469509568096329488 4.4572763024583412772	0.21688995975245137227 -0.45472389001156926502 0.25893290777890071164	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
4397	1	5.8392979528786277399 17.641533263766412176 2.9062147302608685173	-1.4270368112810771777 1.2817813195291709594 0.28690260408780443591	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
