     simstep              dBetaTrans                dBetaRot
        8900   9.999813685737521e-01   1.000000000000000e+00
        9000   1.000036926184355e+00   1.000000000000000e+00
        9100   9.999831230843255e-01   1.000000000000000e+00
        9200   9.999324754098288e-01   1.000000000000000e+00
        9300   1.000011193713352e+00   1.000000000000000e+00
        9400   1.000073789184514e+00   1.000000000000000e+00
        9500   9.999386282612673e-01   1.000000000000000e+00
        9600   1.000060536291558e+00   1.000000000000000e+00
        9700   1.000003580476446e+00   1.000000000000000e+00
        9800   9.999895788960736e-01   1.000000000000000e+00
        9900   1.000099167311266e+00   1.000000000000000e+00
       10000   9.999890296366734e-01   1.000000000000000e+00
       10100   1.000076376417112e+00   1.000000000000000e+00
       10200   9.999730626822273e-01   1.000000000000000e+00
       10300   9.999573958571716e-01   1.000000000000000e+00
       10400   9.999408133403992e-01   1.000000000000000e+00
       10500   9.999475496694352e-01   1.000000000000000e+00
       10600   9.999718911887735e-01   1.000000000000000e+00
       10700   1.000052516315329e+00   1.000000000000000e+00
       10800   9.999205981297800e-01   1.000000000000000e+00
       10900   1.000026454817129e+00   1.000000000000000e+00
       11000   1.000035398688918e+00   1.000000000000000e+00
       11100   1.000036808594766e+00   1.000000000000000e+00
       11200   1.000089831800906e+00   1.000000000000000e+00
       11300   9.999232828163657e-01   1.000000000000000e+00
       11400   1.000033794755163e+00   1.000000000000000e+00
       11500   9.999933472800033e-01   1.000000000000000e+00
       11600   1.000019641767719e+00   1.000000000000000e+00
       11700   9.999786040000653e-01   1.000000000000000e+00
       11800   9.999547962578124e-01   1.000000000000000e+00
       11900   9.999683157388762e-01   1.000000000000000e+00
       12000   1.000018163349453e+00   1.000000000000000e+00
       12100   9.999718052953951e-01   1.000000000000000e+00
       12200   1.000056115594402e+00   1.000000000000000e+00
       12300   9.999725278777892e-01   1.000000000000000e+00
       12400   9.999059454222168e-01   1.000000000000000e+00
       12500   1.000030672332315e+00   1.000000000000000e+00
       12600   1.000049798143247e+00   1.000000000000000e+00
       12700   1.000032680328951e+00   1.000000000000000e+00
       12800   1.000101729412435e+00   1.000000000000000e+00
       12900   9.999940938355630e-01   1.000000000000000e+00
       13000   1.000039151730551e+00   1.000000000000000e+00
       13100   9.999551526122653e-01   1.000000000000000e+00
       13200   9.999245155831423e-01   1.000000000000000e+00
       13300   9.999917145084181e-01   1.000000000000000e+00
       13400   9.999845080382077e-01   1.000000000000000e+00
       13500   1.000069459059375e+00   1.000000000000000e+00
       13600   9.999405566686909e-01   1.000000000000000e+00
       13700   1.000010009753964e+00   1.000000000000000e+00
       13800   1.000038677002147e+00   1.000000000000000e+00
       13900   1.000047768379902e+00   1.000000000000000e+00
       14000   1.000009857816436e+00   1.000000000000000e+00
       14100   1.000014635634450e+00   1.000000000000000e+00
       14200   1.000022678207593e+00   1.000000000000000e+00
       14300   9.999593928312851e-01   1.000000000000000e+00
       14400   9.999640479965056e-01   1.000000000000000e+00
       14500   9.999870940825281e-01   1.000000000000000e+00
       14600   1.000035990664135e+00   1.000000000000000e+00
       14700   9.999394984090940e-01   1.000000000000000e+00
       14800   1.000064031553835e+00   1.000000000000000e+00
       14900   9.999819038039283e-01   1.000000000000000e+00
       15000   1.000042660968890e+00   1.000000000000000e+00
       15100   1.000045079642302e+00   1.000000000000000e+00
       15200   9.999824894990438e-01   1.000000000000000e+00
       15300   9.999972180724165e-01   1.000000000000000e+00
       15400   9.999303762120783e-01   1.000000000000000e+00
       15500   9.999859886893235e-01   1.000000000000000e+00
       15600   9.999724732834513e-01   1.000000000000000e+00
       15700   1.000085605447566e+00   1.000000000000000e+00
       15800   9.999908712687156e-01   1.000000000000000e+00
       15900   1.000039678993015e+00   1.000000000000000e+00
       16000   9.999581504789119e-01   1.000000000000000e+00
       16100   1.000067443080458e+00   1.000000000000000e+00
       16200   9.999035552801055e-01   1.000000000000000e+00
       16300   1.000105811609962e+00   1.000000000000000e+00
       16400   9.999614323719617e-01   1.000000000000000e+00
       16500   1.000041632777180e+00   1.000000000000000e+00
       16600   1.000019382742862e+00   1.000000000000000e+00
       16700   1.000038689557751e+00   1.000000000000000e+00
       16800   9.999510236813026e-01   1.000000000000000e+00
       16900   9.999785783354084e-01   1.000000000000000e+00
       17000   1.000013048769613e+00   1.000000000000000e+00
       17100   9.999505183359618e-01   1.000000000000000e+00
       17200   1.000019766658063e+00   1.000000000000000e+00
       17300   1.000011204679359e+00   1.000000000000000e+00
       17400   1.000012227477764e+00   1.000000000000000e+00
       17500   1.000013777780338e+00   1.000000000000000e+00
       17600   9.999143215406440e-01   1.000000000000000e+00
       17700   1.000066483610961e+00   1.000000000000000e+00
       17800   1.000063953706981e+00   1.000000000000000e+00
       17900   9.999870079092185e-01   1.000000000000000e+00
       18000   9.999401666881226e-01   1.000000000000000e+00
       18100   1.000016334588002e+00   1.000000000000000e+00
       18200   9.999577687005251e-01   1.000000000000000e+00
       18300   9.999940850401983e-01   1.000000000000000e+00
       18400   1.000006148819261e+00   1.000000000000000e+00
       18500   1.000034859274278e+00   1.000000000000000e+00
       18600   9.999965105603310e-01   1.000000000000000e+00
       18700   1.000044445377005e+00   1.000000000000000e+00
