                  height                  radius                numParts                     rho                       T                    ekin                       p                     T_r                     T_y                     T_t                     v_r                     v_y                     v_t                     p_r                     p_y                     p_t              numSamples
   2.225000000000000e+01   2.500000000000000e-01                     nan   0.000000000000000e+00                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                       0
   2.275000000000000e+01   2.500000000000000e-01   7.125000000000000e-01   1.814366351241712e+00   5.268550983221806e-01   8.126635720491764e-01   2.975911016697329e-01   5.517539672074154e-01   4.504163884095931e-01   5.783949393495326e-01  -3.042666031351977e-02  -6.266760963463676e-02  -1.997719654422446e-01                     nan   1.150968709412027e+00                     nan                     400
   2.325000000000000e+01   2.500000000000000e-01   2.350000000000000e-01   5.984225860235822e-01   5.540682705036650e-01   8.539877923568846e-01  -4.452230108806579e-01   1.024504232769572e+00   5.351858414138063e-01   1.025147373276170e-01  -1.711812333309064e-01  -1.183206095036085e-01   4.967888811938655e-02                     nan  -8.725945316544420e-01                     nan                     400
   2.375000000000000e+01   2.500000000000000e-01   1.250000000000000e-02   3.183098861827565e-02   1.155173249491588e+00   1.733030581024067e+00  -1.296152077288380e-01   4.594412504372660e-01   1.040237827716889e+00   1.965840670320609e+00   8.472742621608196e-03  -1.274872482512510e-02  -1.752416106902005e-02                     nan  -1.901380516137262e-01                     nan                     400
   2.425000000000000e+01   2.500000000000000e-01   4.225000000000000e-01   1.075887415297717e+00   8.777931321474490e-01   1.345056036848179e+00   2.111222536149648e+00   7.899177207882332e-01   1.328862426698480e+00   5.145992489556346e-01   8.923426685192636e-02  -1.794172571254314e-01  -1.287609052430003e-01                     nan   1.804310543909536e+00                     nan                     400
   2.475000000000000e+01   2.500000000000000e-01   4.450000000000000e-01   1.133183194810613e+00   8.025367914405838e-01   1.212464253673571e+00   2.513167886836527e-01   1.011359461518759e+00   7.128173916575642e-01   6.834335211454273e-01   6.308605357149337e-02  -1.119520658886312e-01   2.837283583698695e-02                     nan   6.022190618797250e-02                     nan                     400
   2.525000000000000e+01   2.500000000000000e-01   4.425000000000000e-01   1.126816997086958e+00   6.940349941173813e-01   1.047017431156219e+00   3.226319570858613e+00   7.411611209044396e-01   7.030251471725344e-01   6.379187142751712e-01  -2.631878307679625e-02  -9.927845557396237e-02  -3.716167214346514e-02                     nan   2.608344064315028e+00                     nan                     400
   2.575000000000000e+01   2.500000000000000e-01   3.525000000000000e-01   8.976338790353733e-01   1.049360808718866e+00   1.578907549059839e+00  -2.810257161037526e-01   9.901895870893732e-01   1.362621337390232e+00   7.952715016769941e-01   6.430880836991121e-02   4.849940381086772e-02  -5.696364594294370e-02                     nan   6.664368296583376e-01                     nan                     400
   2.625000000000000e+01   2.500000000000000e-01   5.100000000000000e-01   1.298704335625646e+00   6.501612152341718e-01   9.850460527662207e-01  -3.468039866045721e-01   7.242689595764134e-01   5.959832176446518e-01   6.302314684814483e-01  -1.219122430617519e-01   1.414943933297703e-02   6.742149648399098e-02                     nan   1.233257766845956e+00                     nan                     400
   2.675000000000000e+01   2.500000000000000e-01   2.425000000000000e-01   6.175211791945476e-01   9.478249614636007e-01   1.422327846098455e+00   9.523617919569571e-01   1.628849020755050e+00   5.217691384026062e-01   6.928567252331447e-01  -9.236640513194061e-04   2.239208886332417e-02  -2.604897324590801e-02                     nan   6.011383165908583e-01                     nan                     400
   2.725000000000000e+01   2.500000000000000e-01   6.150000000000000e-01   1.566084640019162e+00   5.240069265491887e-01   8.224107844196417e-01  -1.652913835761641e+00   5.161356943112172e-01   2.339726827638937e-01   8.219124025724559e-01   1.640004726158542e-01  -1.745585181330796e-01   1.242334814801427e-01                     nan  -3.866214480366010e+00                     nan                     400
   2.775000000000000e+01   2.500000000000000e-01                     nan   0.000000000000000e+00                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                       0
   2.825000000000000e+01   2.500000000000000e-01   3.400000000000000e-01   8.658028904170978e-01   3.676562360280950e-01   5.566729945666679e-01  -2.933868648086069e+00   5.091811222855757e-01   2.002466934123834e-01   3.935408923863263e-01  -9.643372978429823e-02   2.784949224954256e-02  -1.738455033592529e-02                     nan  -4.068689649168038e+00                     nan                     400
   2.875000000000000e+01   2.500000000000000e-01   1.550000000000000e-01   3.947042588666181e-01   6.013129933238128e-01   9.162318529937694e-01   6.369366007357719e-01   4.615916604654355e-01   3.620714532732107e-01   9.802758662327925e-01   6.000395068740746e-02   6.777361778835753e-02   1.425867758590575e-01                     nan  -3.794217419775291e-02                     nan                     400
   2.925000000000000e+01   2.500000000000000e-01   7.100000000000000e-01   1.808000153518057e+00   6.990773579379650e-01   1.083223772650337e+00  -9.692262290071092e-01   9.064174260379118e-01   4.202025084399695e-01   7.706121393360134e-01   2.289551569755290e-01   1.257985715557373e-01   3.114043955416049e-02                     nan  -2.188845045537068e+00                     nan                     400
   2.975000000000000e+01   2.500000000000000e-01   1.125000000000000e-01   2.864788975644809e-01   8.913602787926911e-01   1.351687605792343e+00  -7.995566885363825e-01   3.036562176586585e-01   5.857587861629715e-01   1.784665832556444e+00   3.016112045926786e-04   8.532485001126844e-02   1.483710019102385e-01                     nan  -5.113213106011604e-01                     nan                     400
   3.025000000000000e+01   2.500000000000000e-01   6.175000000000000e-01   1.572450837742817e+00   5.716918540405688e-01   8.760164523049790e-01   2.841248518384751e+00   4.657200181833147e-01   5.460040651440538e-01   7.033514787943381e-01  -1.356751648416285e-02   1.850757016576833e-01  -5.020208801056042e-02                     nan   2.405729167138517e+00                     nan                     400
   3.075000000000000e+01   2.500000000000000e-01   3.825000000000000e-01   9.740282517192349e-01   8.259145737569656e-01   1.249721271011239e+00   2.484617057106964e+00   4.525985117313520e-01   3.322839726096613e-01   1.692861236929884e+00  -9.011566195399837e-02   1.164820952544176e-01   3.147968760149236e-03                     nan   2.463267745310886e-01                     nan                     400
   3.125000000000000e+01   2.500000000000000e-01   2.250000000000000e-02   5.729577951289617e-02   3.729623402041500e-01   5.597073070570239e-01  -7.950331667263834e-02   7.602051607940262e-01   1.873643775956790e-01   1.713174822227448e-01   1.886281165539702e-02  -9.624221523437950e-03  -8.897314095759022e-03                     nan  -2.109163158406871e-01                     nan                     400
